tipo_imovel,logradouro,bairro,numero,metragem,quartos,banheiros,vaga,preco_total,longitude,latitude,ruas,latitude_utm,longitude_utm,latitude_utm.1,longitude_utm.1,lugares_alimentacao,outros,lugares_servicos,lugares_comercio,lugares_cultura,lugares_saude,lugares_religiosos,lugares_parques,lugares_estadios,lugares_educacao,lugares_metro_trem,lugares_turismo,lugares_transporte
apartamento,Rua Jaguarete,Casa Verde,202.0,56,2,2,1.0,2811,-46.6565652,-23.510311,jaguarete,7399011.55,330861.38,7399011.55,330861.38,20.0,6.0,15.0,12.0,13.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Jaguarete,Casa Verde,202.0,54,2,2,1.0,4026,-46.6565652,-23.510311,jaguarete,7399011.55,330861.38,7399011.55,330861.38,20.0,6.0,15.0,12.0,13.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Jaguarete,Casa Verde,202.0,49,2,2,1.0,2992,-46.6565652,-23.510311,jaguarete,7399011.55,330861.38,7399011.55,330861.38,20.0,6.0,15.0,12.0,13.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Jaguarete,Casa Verde,202.0,56,2,2,1.0,2902,-46.6565652,-23.510311,jaguarete,7399011.55,330861.38,7399011.55,330861.38,20.0,6.0,15.0,12.0,13.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Jaguarete,Casa Verde,202.0,54,2,2,1.0,2893,-46.6565652,-23.510311,jaguarete,7399011.55,330861.38,7399011.55,330861.38,20.0,6.0,15.0,12.0,13.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Jaguarete,Casa Verde,202.0,49,2,1,1.0,2820,-46.6565652,-23.510311,jaguarete,7399011.55,330861.38,7399011.55,330861.38,20.0,6.0,15.0,12.0,13.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
outro,Rua Caetano Desco,Casa Verde,166.0,46,2,1,0.0,1418,-46.6563618,-23.5059269,caetano desco,7399497.28,330876.55,7399497.28,330876.55,20.0,6.0,15.0,12.0,13.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Relíquia,Casa Verde,758.0,55,2,1,1.0,2324,-46.6611985,-23.5059854,reliquia,7399485.1,330382.68,7399485.1,330382.68,21.0,6.0,16.0,12.0,0.0,2.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Joboatão,Casa Verde,542.0,63,2,1,2.0,2521,-46.6589546,-23.506794,joboatao,7399398.2,330612.87,7399398.2,330612.87,21.0,6.0,15.0,12.0,13.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Jaguaretê,Casa Verde,177.0,73,3,2,1.0,2553,-46.6564101,-23.510643,jaguarete,7398974.97,330877.65,7398974.97,330877.65,20.0,6.0,15.0,12.0,13.0,2.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Professor Luciano Prata,Casa Verde,23.0,50,1,1,0.0,1527,-46.6527534,-23.5144357,professor luciano prata,7398559.27,331255.91,7398559.27,331255.91,14.0,6.0,33.0,28.0,13.0,8.0,22.0,3.0,3.0,0.0,0.0,0.0,0.0
apartamento,Rua Professor Luciano Prata,Casa Verde,23.0,60,1,1,0.0,1733,-46.6527511,-23.5142785,professor luciano prata,7398576.69,331255.94,7398576.69,331255.94,14.0,6.0,31.0,18.0,13.0,8.0,22.0,3.0,3.0,0.0,0.0,0.0,0.0
apartamento,Rua dos Americanos,Barra Funda,185.0,65,2,2,2.0,4012,-46.6555486,-23.5253684,americanos,7397345.31,330984.43,7397345.31,330984.43,102.0,139.0,77.0,37.0,53.0,30.0,67.0,73.0,3.0,37.0,82.0,0.0,0.0
apartamento,Rua José Gomes Falcão,Barra Funda,304.0,160,4,3,2.0,7694,-46.6612552,-23.521032100000006,jose gomes falcao,7397818.78,330396.17,7397818.78,330396.17,1.0,17.0,39.0,18.0,47.0,28.0,30.0,70.0,0.0,71.0,36.0,131.0,0.0
apartamento,Alameda Eduardo Prado,Bom Retiro,150.0,35,1,1,1.0,1761,-46.6474341,-23.5292421,eduardo prado,7396925.88,331817.93,7396925.88,331817.93,169.0,94.0,141.0,236.0,280.0,5.0,153.0,25.0,0.0,167.0,82.0,0.0,0.0
apartamento,Rua Doutor Sérgio Meira,Barra Funda,230.0,50,2,2,0.0,3112,-46.6563871,-23.528102800000006,doutor sergio meira,7397041.52,330902.31,7397041.52,330902.31,134.0,139.0,90.0,56.0,66.0,76.0,78.0,91.0,3.0,130.0,82.0,0.0,0.0
apartamento,Rua Anhaia,Bom Retiro,871.0,36,1,1,0.0,3567,-46.64605820000001,-23.5228954,anhaia,7397630.32,331950.35,7397630.32,331950.35,67.0,72.0,81.0,102.0,186.0,6.0,101.0,10.0,3.0,0.0,0.0,0.0,0.0
outro,Avenida Rio Branco,Bom Retiro,1658.0,35,1,1,1.0,2371,-46.64688579999999,-23.5298842,rio branco,7396855.42,331874.73,7396855.42,331874.73,176.0,26.0,143.0,289.0,285.0,10.0,163.0,25.0,0.0,167.0,82.0,0.0,0.0
apartamento,Rua Cônego Vicente Miguel Marino,Bom Retiro,161.0,33,2,1,0.0,2138,-46.6499103,-23.5271593,conego vicente miguel marino,7397153.62,331562.44,7397153.62,331562.44,103.0,110.0,112.0,97.0,154.0,5.0,115.0,21.0,3.0,91.0,82.0,0.0,0.0
apartamento,Alameda Barão de Limeira,Bom Retiro,1440.0,148,3,3,2.0,5062,-46.6510135,-23.5296511,barao de limeira,7396876.39,331452.97,7396876.39,331452.97,130.0,194.0,133.0,72.0,147.0,8.0,127.0,18.0,0.0,73.0,82.0,0.0,0.0
apartamento,Rua Doutor Gabriel dos Santos,Santa Cecília,131.0,96,2,2,0.0,6028,-46.6581661,-23.5339079,doutor gabriel dos santos,7396396.57,330728.09,7396396.57,330728.09,170.0,135.0,99.0,158.0,71.0,117.0,102.0,88.0,0.0,97.0,199.0,72.0,0.0
apartamento,Rua Doutor Gabriel dos Santos,Santa Cecília,64.0,200,3,3,2.0,7633,-46.658251,-23.533244,doutor gabriel dos santos,7396469.99,330718.57,7396469.99,330718.57,170.0,139.0,93.0,81.0,65.0,98.0,102.0,88.0,0.0,97.0,199.0,72.0,0.0
apartamento,Rua das Perdizes,Barra Funda,76.0,81,2,1,0.0,2344,-46.6621254,-23.5314963,perdizes,7396658.95,330320.73,7396658.95,330320.73,176.0,139.0,86.0,55.0,102.0,117.0,71.0,136.0,0.0,131.0,118.0,210.0,0.0
apartamento,Avenida General Olímpio da Silveira,Santa Cecília,33.0,113,2,2,0.0,3539,-46.6570369,-23.5331962,general olimpio da silveira,7396476.72,330842.47,7396476.72,330842.47,182.0,139.0,103.0,63.0,70.0,98.0,117.0,88.0,0.0,97.0,163.0,0.0,0.0
apartamento,Rua Conselheiro Brotero,Barra Funda,528.0,71,2,2,1.0,4130,-46.6585775,-23.5312422,conselheiro brotero,7396691.28,330682.67,7396691.28,330682.67,169.0,139.0,99.0,77.0,78.0,117.0,90.0,97.0,0.0,127.0,199.0,72.0,0.0
apartamento,Rua Tupi,Santa Cecília,383.0,47,1,1,1.0,3420,-46.66132879999999,-23.5351177,tupi,7396258.86,330406.72,7396258.86,330406.72,187.0,135.0,104.0,154.0,86.0,129.0,104.0,154.0,0.0,113.0,82.0,210.0,0.0
apartamento,Rua Doutor Gabriel dos Santos,Santa Cecília,179.0,98,3,2,2.0,4954,-46.6585441,-23.5342643,doutor gabriel dos santos,7396356.66,330689.95,7396356.66,330689.95,170.0,135.0,106.0,157.0,86.0,117.0,104.0,97.0,0.0,127.0,199.0,72.0,0.0
outro,Rua Olímpia de Almeida Prado,Barra Funda,27.0,34,1,1,0.0,3057,-46.6576961,-23.5318405,olimpia de almeida prado,7396626.07,330773.43,7396626.07,330773.43,182.0,139.0,102.0,83.0,59.0,121.0,99.0,88.0,0.0,97.0,163.0,0.0,0.0
apartamento,Avenida Francisco Matarazzo,Perdizes,0.0,66,2,1,0.0,1995,0.0,0.0,francisco matarazzo,7396626.07,330773.43,7396626.07,330773.43,182.0,139.0,102.0,83.0,59.0,121.0,99.0,88.0,0.0,97.0,163.0,0.0,0.0
apartamento,Rua Minerva,Perdizes,149.0,85,2,2,1.0,6169,-46.672532200000006,-23.533678100000003,minerva,7396404.99,329260.96,7396404.99,329260.96,132.0,23.0,80.0,142.0,82.0,75.0,44.0,143.0,323.0,127.0,36.0,210.0,0.0
apartamento,Rua Doutor Alfredo de Castro,Barra Funda,112.0,60,2,1,1.0,3513,-46.6642343,-23.5288762,doutor alfredo de castro,7396946.6,330102.04,7396946.6,330102.04,121.0,139.0,87.0,61.0,96.0,76.0,45.0,136.0,0.0,101.0,118.0,210.0,0.0
apartamento,Avenida Thomas Edison,Barra Funda,934.0,69,2,2,1.0,4219,-46.6690357,-23.5187611,thomas edison,7398061.05,329598.75,7398061.05,329598.75,29.0,10.0,40.0,37.0,22.0,30.0,24.0,7.0,165.0,0.0,36.0,0.0,0.0
apartamento,Rua Itapicuru,Perdizes,380.0,120,3,2,2.0,5487,-46.6675828,-23.5352464,itapicuru,7396237.2,329768.33,7396237.2,329768.33,123.0,97.0,82.0,101.0,91.0,137.0,62.0,143.0,20.0,131.0,0.0,210.0,0.0
apartamento,Rua Tagipuru,Barra Funda,127.0,270,4,4,6.0,9994,-46.6640974,-23.5304642,tagipuru,7396770.91,330118.06,7396770.91,330118.06,151.0,139.0,92.0,63.0,98.0,77.0,46.0,136.0,0.0,131.0,118.0,210.0,0.0
apartamento,Rua Conselheiro Brotero,Barra Funda,348.0,80,3,1,0.0,2471,-46.6572271,-23.5299336,conselheiro brotero,7396837.79,330818.88,7396837.79,330818.88,161.0,139.0,102.0,73.0,59.0,78.0,87.0,88.0,0.0,97.0,82.0,0.0,0.0
outro,Avenida General Olímpio da Silveira,Barra Funda,196.0,50,1,1,0.0,1549,-46.6582673,-23.5320716,general olimpio da silveira,7396599.8,330715.4,7396599.8,330715.4,169.0,139.0,99.0,80.0,65.0,121.0,90.0,88.0,0.0,97.0,199.0,72.0,0.0
outro,Rua das Palmeiras,Santa Cecília,410.0,33,1,1,0.0,2898,-46.6525666,-23.5361964,palmeiras,7396149.74,331302.73,7396149.74,331302.73,208.0,131.0,160.0,144.0,142.0,115.0,139.0,52.0,0.0,215.0,163.0,241.0,0.0
apartamento,Rua Cardoso de Almeida,Perdizes,650.0,220,3,3,3.0,8804,-46.6674711,-23.5366607,cardoso de almeida,7396080.71,329781.56,7396080.71,329781.56,127.0,97.0,83.0,68.0,117.0,141.0,62.0,228.0,0.0,131.0,0.0,210.0,0.0
apartamento,Rua Turiassú,Perdizes,507.0,84,2,3,2.0,6175,-46.668047,-23.5333734,turiassu,7396444.06,329718.52,7396444.06,329718.52,115.0,97.0,68.0,103.0,91.0,130.0,54.0,143.0,20.0,131.0,36.0,210.0,0.0
apartamento,Rua Adalberto Kemeny,Barra Funda,82.0,70,1,2,0.0,4470,-46.675909,-23.5200236,adalberto kemeny,7397913.06,328898.51,7397913.06,328898.51,38.0,10.0,46.0,89.0,18.0,14.0,24.0,32.0,465.0,0.0,36.0,0.0,0.0
apartamento,Avenida Marquês de São Vicente,Barra Funda,2898.0,70,2,2,2.0,4597,-46.6751177,-23.5191501,marques de sao vicente,7398010.74,328978.19,7398010.74,328978.19,14.0,10.0,32.0,78.0,31.0,13.0,22.0,32.0,258.0,71.0,36.0,0.0,0.0
apartamento,Rua Joseph Nigri,Água Branca,147.0,58,1,2,1.0,5200,-46.68038060000001,-23.518583,joseph nigri,7398067.25,328440.03,7398067.25,328440.03,31.0,26.0,30.0,70.0,29.0,14.0,19.0,32.0,222.0,0.0,4.0,0.0,0.0
apartamento,Rua Joaquim Ferreira,Água Branca,55.0,77,3,2,2.0,4945,-46.684109,-23.523515300000003,joaquim ferreira,7397516.59,328065.71,7397516.59,328065.71,59.0,29.0,54.0,113.0,41.0,38.0,46.0,33.0,465.0,0.0,4.0,0.0,0.0
apartamento,Avenida Marquês de São Vicente,Água Branca,2914.0,100,3,3,2.0,6364,-46.6880954,-23.5153202,marques de sao vicente,7398419.33,327647.98,7398419.33,327647.98,23.0,16.0,16.0,7.0,57.0,12.0,25.0,25.0,142.0,0.0,4.0,0.0,0.0
apartamento,Avenida Professor Celestino Bourroul,Casa Verde,684.0,58,2,2,1.0,2623,-46.673688,-23.5075977,professor celestino bourroul,7399291.74,329109.27,7399291.74,329109.27,16.0,0.0,14.0,21.0,0.0,4.0,11.0,15.0,0.0,0.0,0.0,24.0,0.0
apartamento,Avenida Professora Ida Kolb,Casa Verde,225.0,100,3,2,1.0,3170,-46.6638487,-23.5097784,professora ida kolb,7399061.93,330116.9,7399061.93,330116.9,24.0,6.0,24.0,21.0,0.0,3.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Joseph Nigri,Água Branca,147.0,60,2,2,1.0,4496,-46.68038060000001,-23.518583,joseph nigri,7398067.25,328440.03,7398067.25,328440.03,31.0,26.0,30.0,70.0,29.0,14.0,19.0,32.0,222.0,0.0,4.0,0.0,0.0
apartamento,Rua Atílio Piffer,Casa Verde,120.0,115,3,2,2.0,6737,-46.6603498,-23.5137172,atilio piffer,7398629.89,330479.26,7398629.89,330479.26,21.0,6.0,24.0,12.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Avenida Thomás Edison,Barra Funda,934.0,100,3,3,2.0,5749,-46.6690357,-23.5187611,thomas edison,7398061.05,329598.75,7398061.05,329598.75,29.0,10.0,40.0,37.0,22.0,30.0,24.0,7.0,165.0,0.0,36.0,0.0,0.0
casa,Rua Zanzibar,Casa Verde,1022.0,260,4,5,3.0,5133,-46.6630705,-23.5134969,zanzibar,7398651.07,330201.14,7398651.07,330201.14,21.0,6.0,25.0,6.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Visconde Taunay,Bom Retiro,396.0,96,2,1,0.0,1770,-46.6484722,-23.5236716,visconde taunay,7397541.53,331704.84,7397541.53,331704.84,65.0,72.0,84.0,88.0,143.0,6.0,91.0,10.0,3.0,0.0,0.0,0.0,0.0
apartamento,Rua Cônego Vicente Miguel Marino,Bom Retiro,59.0,34,1,1,0.0,2326,-46.6491006,-23.5271578,conego vicente miguel marino,7397154.74,331645.11,7397154.74,331645.11,103.0,110.0,117.0,109.0,154.0,5.0,123.0,21.0,3.0,91.0,82.0,0.0,0.0
apartamento,Rua Atílio Piffer,Casa Verde,120.0,62,2,2,0.0,3827,-46.6603498,-23.5137172,atilio piffer,7398629.89,330479.26,7398629.89,330479.26,21.0,6.0,24.0,12.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Doutor Alfredo de Castro,Barra Funda,0.0,64,2,2,2.0,3715,0.0,0.0,doutor alfredo de castro,7398629.89,330479.26,7398629.89,330479.26,21.0,6.0,24.0,12.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
apartamento,Avenida Ordem E Progresso,Casa Verde,1190.0,84,3,2,2.0,2631,-46.6654794,-23.5105444,ordem e progresso,7398975.18,329951.35,7398975.18,329951.35,24.0,6.0,18.0,22.0,0.0,3.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0
apartamento,Rua Desembargador Guimarães,Perdizes,75.0,176,3,5,4.0,9338,-46.6740174,-23.5299272,desembargador guimaraes,7396818.59,329104.47,7396818.59,329104.47,110.0,23.0,85.0,136.0,81.0,66.0,51.0,78.0,323.0,127.0,36.0,210.0,0.0
apartamento,Rua Torres da Barra,Água Branca,75.0,71,2,2,1.0,3235,-46.6868657,-23.5153558,torres da barra,7398416.87,327773.6,7398416.87,327773.6,20.0,16.0,14.0,7.0,57.0,12.0,14.0,25.0,142.0,0.0,4.0,0.0,0.0
apartamento,Rua Francisco Luiz de Souza Júnior,Água Branca,328.0,45,2,1,1.0,2630,-46.6880648,-23.5136354,francisco luiz de souza junior,7398605.94,327648.91,7398605.94,327648.91,3.0,4.0,15.0,8.0,47.0,9.0,25.0,25.0,142.0,0.0,4.0,0.0,0.0
apartamento,Rua Torres da Barra,Água Branca,207.0,31,1,1,0.0,2118,-46.686957,-23.5140863,torres da barra,7398557.34,327762.62,7398557.34,327762.62,0.0,16.0,13.0,8.0,57.0,12.0,14.0,25.0,142.0,0.0,4.0,0.0,0.0
apartamento,Avenida General Olímpio da Silveira,Barra Funda,166.0,57,2,1,0.0,2413,-46.6579925,-23.5321825,general olimpio da silveira,7396587.84,330743.6,7396587.84,330743.6,169.0,139.0,99.0,80.0,65.0,121.0,90.0,88.0,0.0,97.0,199.0,0.0,0.0
